instance=33,n=50,m=50,d=3,type=B2
BinType:1, cost=412
    no=1, value=115
    no=2, value=287
    no=3, value=187
BinType:2, cost=415
    no=1, value=105
    no=2, value=375
    no=3, value=144
BinType:3, cost=422
    no=1, value=179
    no=2, value=165
    no=3, value=262
BinType:4, cost=423
    no=1, value=206
    no=2, value=177
    no=3, value=218
BinType:5, cost=423
    no=1, value=112
    no=2, value=349
    no=3, value=175
BinType:6, cost=427
    no=1, value=176
    no=2, value=231
    no=3, value=209
BinType:7, cost=453
    no=1, value=264
    no=2, value=114
    no=3, value=343
BinType:8, cost=462
    no=1, value=242
    no=2, value=111
    no=3, value=410
BinType:9, cost=466
    no=1, value=282
    no=2, value=167
    no=3, value=292
BinType:10, cost=469
    no=1, value=200
    no=2, value=186
    no=3, value=372
BinType:11, cost=475
    no=1, value=226
    no=2, value=255
    no=3, value=278
BinType:12, cost=475
    no=1, value=322
    no=2, value=134
    no=3, value=328
BinType:13, cost=476
    no=1, value=468
    no=2, value=152
    no=3, value=190
BinType:14, cost=480
    no=1, value=247
    no=2, value=151
    no=3, value=406
BinType:15, cost=480
    no=1, value=251
    no=2, value=371
    no=3, value=170
BinType:16, cost=481
    no=1, value=335
    no=2, value=133
    no=3, value=338
BinType:17, cost=486
    no=1, value=295
    no=2, value=165
    no=3, value=350
BinType:18, cost=487
    no=1, value=146
    no=2, value=467
    no=3, value=230
BinType:19, cost=491
    no=1, value=367
    no=2, value=197
    no=3, value=256
BinType:20, cost=491
    no=1, value=271
    no=2, value=163
    no=3, value=402
BinType:21, cost=493
    no=1, value=279
    no=2, value=129
    no=3, value=456
BinType:22, cost=496
    no=1, value=341
    no=2, value=199
    no=3, value=295
BinType:23, cost=496
    no=1, value=352
    no=2, value=343
    no=3, value=154
BinType:24, cost=497
    no=1, value=182
    no=2, value=346
    no=3, value=315
BinType:25, cost=500
    no=1, value=182
    no=2, value=494
    no=3, value=208
BinType:26, cost=500
    no=1, value=368
    no=2, value=275
    no=3, value=209
BinType:27, cost=501
    no=1, value=317
    no=2, value=457
    no=3, value=121
BinType:28, cost=512
    no=1, value=390
    no=2, value=135
    no=3, value=397
BinType:29, cost=512
    no=1, value=138
    no=2, value=492
    no=3, value=303
BinType:30, cost=518
    no=1, value=483
    no=2, value=131
    no=3, value=344
BinType:31, cost=519
    no=1, value=495
    no=2, value=238
    no=3, value=207
BinType:32, cost=519
    no=1, value=447
    no=2, value=189
    no=3, value=293
BinType:33, cost=531
    no=1, value=336
    no=2, value=185
    no=3, value=450
BinType:34, cost=538
    no=1, value=455
    no=2, value=313
    no=3, value=224
BinType:35, cost=544
    no=1, value=488
    no=2, value=189
    no=3, value=351
BinType:36, cost=545
    no=1, value=309
    no=2, value=278
    no=3, value=420
BinType:37, cost=545
    no=1, value=381
    no=2, value=339
    no=3, value=277
BinType:38, cost=552
    no=1, value=305
    no=2, value=415
    no=3, value=309
BinType:39, cost=552
    no=1, value=361
    no=2, value=476
    no=3, value=210
BinType:40, cost=553
    no=1, value=431
    no=2, value=438
    no=3, value=190
BinType:41, cost=559
    no=1, value=368
    no=2, value=246
    no=3, value=453
BinType:42, cost=559
    no=1, value=386
    no=2, value=293
    no=3, value=371
BinType:43, cost=559
    no=1, value=470
    no=2, value=429
    no=3, value=185
BinType:44, cost=568
    no=1, value=355
    no=2, value=322
    no=3, value=405
BinType:45, cost=572
    no=1, value=295
    no=2, value=408
    no=3, value=401
BinType:46, cost=573
    no=1, value=396
    no=2, value=303
    no=3, value=406
BinType:47, cost=591
    no=1, value=309
    no=2, value=379
    no=3, value=493
BinType:48, cost=591
    no=1, value=410
    no=2, value=424
    no=3, value=341
BinType:49, cost=601
    no=1, value=317
    no=2, value=475
    no=3, value=428
BinType:50, cost=645
    no=1, value=468
    no=2, value=436
    no=3, value=492
Item: no=1
   no=1, value=72
   no=2, value=18
   no=3, value=42
Item: no=2
   no=1, value=22
   no=2, value=15
   no=3, value=93
Item: no=3
   no=1, value=49
   no=2, value=46
   no=3, value=20
Item: no=4
   no=1, value=5
   no=2, value=20
   no=3, value=6
Item: no=5
   no=1, value=43
   no=2, value=71
   no=3, value=22
Item: no=6
   no=1, value=86
   no=2, value=75
   no=3, value=9
Item: no=7
   no=1, value=96
   no=2, value=30
   no=3, value=97
Item: no=8
   no=1, value=45
   no=2, value=29
   no=3, value=27
Item: no=9
   no=1, value=15
   no=2, value=4
   no=3, value=60
Item: no=10
   no=1, value=56
   no=2, value=13
   no=3, value=45
Item: no=11
   no=1, value=66
   no=2, value=29
   no=3, value=66
Item: no=12
   no=1, value=68
   no=2, value=98
   no=3, value=59
Item: no=13
   no=1, value=68
   no=2, value=91
   no=3, value=36
Item: no=14
   no=1, value=55
   no=2, value=3
   no=3, value=94
Item: no=15
   no=1, value=99
   no=2, value=14
   no=3, value=52
Item: no=16
   no=1, value=40
   no=2, value=56
   no=3, value=35
Item: no=17
   no=1, value=93
   no=2, value=81
   no=3, value=34
Item: no=18
   no=1, value=89
   no=2, value=7
   no=3, value=67
Item: no=19
   no=1, value=88
   no=2, value=70
   no=3, value=91
Item: no=20
   no=1, value=33
   no=2, value=45
   no=3, value=95
Item: no=21
   no=1, value=89
   no=2, value=44
   no=3, value=19
Item: no=22
   no=1, value=46
   no=2, value=6
   no=3, value=14
Item: no=23
   no=1, value=46
   no=2, value=90
   no=3, value=60
Item: no=24
   no=1, value=88
   no=2, value=40
   no=3, value=45
Item: no=25
   no=1, value=58
   no=2, value=26
   no=3, value=75
Item: no=26
   no=1, value=9
   no=2, value=86
   no=3, value=46
Item: no=27
   no=1, value=19
   no=2, value=58
   no=3, value=31
Item: no=28
   no=1, value=79
   no=2, value=14
   no=3, value=54
Item: no=29
   no=1, value=60
   no=2, value=19
   no=3, value=16
Item: no=30
   no=1, value=22
   no=2, value=38
   no=3, value=35
Item: no=31
   no=1, value=75
   no=2, value=90
   no=3, value=74
Item: no=32
   no=1, value=6
   no=2, value=84
   no=3, value=41
Item: no=33
   no=1, value=71
   no=2, value=74
   no=3, value=51
Item: no=34
   no=1, value=39
   no=2, value=2
   no=3, value=24
Item: no=35
   no=1, value=86
   no=2, value=31
   no=3, value=63
Item: no=36
   no=1, value=46
   no=2, value=10
   no=3, value=85
Item: no=37
   no=1, value=38
   no=2, value=56
   no=3, value=88
Item: no=38
   no=1, value=7
   no=2, value=71
   no=3, value=92
Item: no=39
   no=1, value=10
   no=2, value=14
   no=3, value=90
Item: no=40
   no=1, value=84
   no=2, value=5
   no=3, value=96
Item: no=41
   no=1, value=91
   no=2, value=91
   no=3, value=11
Item: no=42
   no=1, value=11
   no=2, value=75
   no=3, value=30
Item: no=43
   no=1, value=55
   no=2, value=8
   no=3, value=33
Item: no=44
   no=1, value=54
   no=2, value=61
   no=3, value=31
Item: no=45
   no=1, value=70
   no=2, value=56
   no=3, value=34
Item: no=46
   no=1, value=17
   no=2, value=50
   no=3, value=84
Item: no=47
   no=1, value=16
   no=2, value=16
   no=3, value=5
Item: no=48
   no=1, value=62
   no=2, value=69
   no=3, value=83
Item: no=49
   no=1, value=87
   no=2, value=42
   no=3, value=8
Item: no=50
   no=1, value=30
   no=2, value=97
   no=3, value=6
//////////////////////////////////////////////////
Links between items
Link 1: itemNo1=1, itemNo2=3, cost=22
Link 2: itemNo1=1, itemNo2=4, cost=42
Link 3: itemNo1=1, itemNo2=5, cost=89
Link 4: itemNo1=1, itemNo2=11, cost=24
Link 5: itemNo1=1, itemNo2=14, cost=80
Link 6: itemNo1=1, itemNo2=16, cost=75
Link 7: itemNo1=1, itemNo2=23, cost=93
