Instances,Best_Original,LB_Original,Gap_Original,Best_Linear,LB_Linear,Gap_Linear
QMC-25-1,7746,6830,11.8,7746,7516,3.0
QMC-25-2,7625,6520,14.5,7600,7294,4.0
QMC-25-3,7584,6514,14.1,7465,7437,0.4
QMC-25-4,12009,9640,19.7,11973,10368,13.4
QMC-25-5,11988,9492,20.8,12061,9530,21.0
QMC-25-6,11871,9377,21.0,11876,9577,19.4
QMC-25-7,5666,5436,4.1,5666,5666,0.0
QMC-25-8,5367,5108,4.8,5367,5367,0.0
QMC-25-9,5394,5033,6.7,5367,5367,0.0
QMC-25-10,8381,6676,20.3,8302,7223,13.0
QMC-25-11,8245,6453,21.7,8266,6892,16.6
QMC-25-12,7821,6220,20.5,8128,6748,17.0
QMC-25-13,11346,9318,17.9,11423,9865,13.6
QMC-25-14,11063,8998,18.7,10919,9700,11.2
QMC-25-15,10943,8926,18.4,10908,9582,12.2
QMC-25-16,18479,15645,15.3,18703,16422,12.2
QMC-25-17,18792,14786,21.3,18595,15116,18.7
QMC-25-18,17680,13704,22.5,17706,14140,20.1
QMC-25-19,8635,7278,15.7,8646,7904,8.6
QMC-25-20,8222,7429,9.6,8239,7646,7.2
QMC-25-21,8164,7381,9.6,8206,7654,6.7
QMC-25-22,11865,9508,19.9,11919,10180,14.6
QMC-25-23,11572,9173,20.7,11674,9925,15.0
QMC-25-24,11526,9238,19.9,11144,9729,12.7
QMC-50-25,26710,10131,62.1,26860,10614,60.5
QMC-50-26,25387,10262,59.6,25290,9558,62.2
QMC-50-27,25762,9964,61.3,25351,9447,62.7
QMC-50-28,34557,15433,55.3,34177,14312,58.1
QMC-50-29,35099,15262,56.5,35027,14584,58.4
QMC-50-30,34570,15006,56.6,34713,16199,53.3
QMC-50-31,22992,6970,69.7,22847,7002,69.4
QMC-50-32,20865,5724,72.6,21622,5153,76.2
QMC-50-33,21124,6110,71.1,21052,5695,72.9
QMC-50-34,27684,9567,65.4,27799,9249,66.7
QMC-50-35,27760,9757,64.9,27883,8973,67.8
QMC-50-36,27312,9212,66.3,27262,8859,67.5
QMC-50-37,33367,15750,52.8,33277,15207,54.3
QMC-50-38,33341,15428,53.7,33014,15131,54.2
QMC-50-39,33521,15219,54.6,32974,12327,62.6
QMC-50-40,47880,25296,47.2,46759,24140,48.4
QMC-50-41,48655,24424,49.8,47361,24530,48.2
QMC-50-42,46965,22410,52.3,47272,22508,52.4
QMC-50-43,28067,10818,61.5,28591,11494,59.8
QMC-50-44,27606,11037,60.0,27202,9514,65.0
QMC-50-45,26748,11092,58.5,27127,9235,66.0
QMC-50-46,34633,15015,56.6,34910,15101,56.7
QMC-50-47,34279,15125,55.9,34205,14668,57.1
QMC-50-48,34843,16552,52.5,34029,15534,54.4
QMC-100-49,110411,17569,84.1,108590,17362,84.0
QMC-100-50,116181,17295,85.1,105474,17333,83.6
QMC-100-51,108374,17312,84.0,107425,17312,83.9
QMC-100-52,130243,27410,79.0,133263,27811,79.1
QMC-100-53,137478,27421,80.1,131824,27392,79.2
QMC-100-54,132896,27374,79.4,129415,27375,78.8
QMC-100-55,105148,10349,90.2,100844,10418,89.7
QMC-100-56,98029,9480,90.3,96181,9391,90.2
QMC-100-57,98524,9340,90.5,97268,9340,90.4
QMC-100-58,113344,16344,85.6,113562,16016,85.9
QMC-100-59,118285,15805,86.6,116448,15749,86.5
QMC-100-60,115153,15410,86.6,110176,15287,86.1
QMC-100-61,122822,26586,78.4,119764,26428,77.9
QMC-100-62,121367,25579,78.9,121290,26357,78.3
QMC-100-63,120935,25026,79.3,120589,25699,78.7
QMC-100-64,150622,45842,69.6,157607,46027,70.8
QMC-100-65,148827,45732,69.3,156204,47136,69.8
QMC-100-66,150855,43802,71.0,150656,43870,70.9
QMC-100-67,111642,18183,83.7,111245,18286,83.6
QMC-100-68,110188,18185,83.5,107806,18272,83.1
QMC-100-69,110608,17907,83.8,110522,17939,83.8
QMC-100-70,129520,27005,79.1,128081,26992,78.9
QMC-100-71,125292,26740,78.7,125080,26667,78.7
QMC-100-72,125246,26516,78.8,122596,26530,78.4
QMC-200-73,410914,30470,92.6,411350,30470,92.6
QMC-200-74,397576,30470,92.3,410449,30470,92.6
QMC-200-75,399244,30470,92.4,411355,30470,92.6
QMC-200-76,437750,50565,88.4,451844,50565,88.8
QMC-200-77,451856,50565,88.8,456017,50565,88.9
QMC-200-78,465082,50565,89.1,458103,50565,89.0
QMC-200-79,391804,16107,95.9,397684,16107,95.9
QMC-200-80,374381,14459,96.1,396933,14460,96.4
QMC-200-81,380953,14442,96.2,399015,14442,96.4
QMC-200-82,421473,27553,93.5,421986,27553,93.5
QMC-200-83,418105,26310,93.7,425222,26310,93.8
QMC-200-84,417815,25987,93.8,429708,25987,94.0
QMC-200-85,429213,45272,89.5,433427,45272,89.6
QMC-200-86,431868,45229,89.5,434254,45229,89.6
QMC-200-87,432021,44800,89.6,434064,44800,89.7
QMC-200-88,496293,85027,82.9,502579,85028,83.1
QMC-200-89,495268,85027,82.8,507779,85028,83.3
QMC-200-90,502535,79785,84.1,501049,79786,84.1
QMC-200-91,412618,31556,92.4,413792,31557,92.4
QMC-200-92,413040,31556,92.4,414904,31557,92.4
QMC-200-93,411384,31490,92.3,417731,31491,92.5
QMC-200-94,446008,49357,88.9,449800,49358,89.0
QMC-200-95,443255,49196,88.9,444650,49196,88.9
QMC-200-96,447362,48657,89.1,446515,48658,89.1
