Instances,Solution1,Solution2,Solution3,Solution4,Solution5,Best,AVG
QMC-25-1,7746.000442,7746.000442,7746.000442,7746.000442,7746.000442,7746.000442,7746.000442
QMC-25-2,7581.000436,7581.000436,7581.000436,7581.000436,7581.000436,7581.000436,7581.000436
QMC-25-3,7465.000461,7465.000461,7465.000461,7465.000461,7465.000461,7465.000461,7465.000461
QMC-25-4,11933.00145,11933.00145,11933.00145,11933.00145,11957.00145,11933.00145,11937.80145
QMC-25-5,11562.00117,11543.00118,11558.00119,11558.00119,11636.00119,11543.00118,11571.40118
QMC-25-6,11430.00117,11442.00115,11442.00115,11442.00115,11430.00117,11430.00117,11437.20116
QMC-25-7,5666.000261,5666.000261,5666.000261,5666.000261,5666.000261,5666.000261,5666.000261
QMC-25-8,5367.000245,5367.000245,5367.000245,5367.000245,5367.000245,5367.000245,5367.000245
QMC-25-9,5367.000245,5367.000245,5367.000245,5367.000245,5367.000245,5367.000245,5367.000245
QMC-25-10,8302.000805,8302.000805,8302.000805,8302.000805,8302.000805,8302.000805,8302.000805
QMC-25-11,7864.000644,7864.000644,7864.000644,7864.000644,7864.000644,7864.000644,7864.000644
QMC-25-12,7697.000619,7697.000619,7697.000619,7697.000619,7697.000619,7697.000619,7697.000619
QMC-25-13,11325.00097,11325.00097,11325.00097,11325.00097,11325.00097,11325.00097,11325.00097
QMC-25-14,10919.00089,10919.00089,10919.00089,10919.00089,10919.00089,10919.00089,10919.00089
QMC-25-15,10768.00087,10768.00087,10768.00087,10768.00087,10768.00087,10768.00087,10768.00087
QMC-25-16,18015.00258,18015.00258,18179.00258,18304.00253,18179.00258,18015.00258,18138.40257
QMC-25-17,18234.00262,18244.00257,18015.00258,18015.00258,18015.00258,18015.00258,18104.60259
QMC-25-18,17217.00246,17217.00246,17217.00246,17217.00246,17217.00246,17217.00246,17217.00246
QMC-25-19,8516.000551,8516.000551,8516.000551,8516.000551,8516.000551,8516.000551,8516.000551
QMC-25-20,8206.000458,8206.000458,8206.000458,8206.000458,8206.000458,8206.000458,8206.000458
QMC-25-21,8144.000469,8144.000469,8144.000469,8144.000469,8144.000469,8144.000469,8144.000469
QMC-25-22,11775.00138,11775.00138,11775.00138,11775.00138,11775.00138,11775.00138,11775.00138
QMC-25-23,11446.0014,11476.00138,11446.0014,11476.00138,11476.00138,11446.0014,11464.00139
QMC-25-24,11144.00137,11144.00137,11144.00137,11144.00137,11144.00137,11144.00137,11144.00137
QMC-50-25,26161.00082,26183.00083,26161.00082,26161.00082,26183.00083,26161.00082,26169.80083
QMC-50-26,24767.00063,24777.00063,24767.00063,24767.00063,24767.00063,24767.00063,24769.00063
QMC-50-27,24696.00063,24579.00064,24712.00063,24702.00063,24673.00063,24579.00064,24672.40063
QMC-50-28,33976.00253,33936.00252,34100.00254,33931.00252,33796.00252,33796.00252,33947.80253
QMC-50-29,33671.00229,33870.00252,33404.00226,33709.00254,33843.00258,33404.00226,33699.40244
QMC-50-30,33135.00258,32943.00225,32838.00224,33079.00251,32796.00223,32796.00223,32958.20236
QMC-50-31,22270.00049,22264.00049,22264.00049,22270.00049,22270.00049,22264.00049,22267.60049
QMC-50-32,20376.00033,20396.00033,20396.00033,20396.00033,20376.00033,20376.00033,20388.00033
QMC-50-33,20376.00033,20376.00033,20378.00034,20376.00033,20378.00034,20376.00033,20376.80034
QMC-50-34,27019.00141,27019.00141,27019.00141,27019.00141,27019.00141,27019.00141,27019.00141
QMC-50-35,26503.00123,26735.00144,26302.00124,26706.00145,26696.00124,26302.00124,26588.40132
QMC-50-36,25701.0012,25701.0012,25712.00125,25701.0012,25701.0012,25701.0012,25703.20121
QMC-50-37,32824.0017,32824.0017,32824.0017,32856.00175,32778.00168,32778.00168,32821.20171
QMC-50-38,32437.00162,32532.0015,32532.0015,32536.0017,32438.00151,32437.00162,32495.00157
QMC-50-39,32277.00163,32135.00168,32290.0016,32281.00166,32247.00164,32135.00168,32246.00164
QMC-50-40,46006.00451,46067.00455,45939.00484,46040.00451,46077.00451,45939.00484,46025.80458
QMC-50-41,45903.00451,46112.00453,46027.00453,45793.00452,45802.00446,45793.00452,45927.40451
QMC-50-42,44356.00473,44494.00468,44634.00475,44599.00516,44449.00478,44356.00473,44506.40482
QMC-50-43,27496.00094,27418.00095,27460.00093,27494.00093,27583.00094,27418.00095,27490.20094
QMC-50-44,26373.00075,26373.00075,26373.00075,26407.00082,26373.00075,26373.00075,26379.80076
QMC-50-45,26343.0008,26225.00082,26343.0008,26387.00083,26225.00082,26225.00082,26304.60081
QMC-50-46,33368.00239,33321.00241,33310.00239,33211.00238,33339.00239,33211.00238,33309.80239
